radio,ரேடியோ
keezh,கீழ்
idhu,இது
thirava,திரவ
nilayil,நிலையில்
kaanapadum,காணப்படும்
</s>,</s>
subbu,சுப்பு
rettiyar,ரெட்டியார்
tamilnadu,தமிழ்நாடு
trichy,திருச்சி
maavattam,மாவட்டம்
peragambi,பெரகம்பி
endra,என்ற
ooril,ஊரில்
eliya,எளிய
velanmai,வேளாண்மைக்
kudumbathil,குடும்பத்தில்
pirandhar,பிறந்தார்
</s>,</s>
endru,என்று
endha,எந்தப்
poraamaiyum,பொறாமையும்
illamal,இல்லாமல்
avar,அவர்
solli,சொல்லி
magizhndhadhundu,மகிழ்ந்ததுண்டு
</s>,</s>
arul,அருள்
saami,சாமி
pirappu,பிறப்பு
december,டிசம்பர்
18,18
1913,1913
indhiyavai,இந்தியாவைச்
serndha,சேர்ந்த
oar,ஓர்
tholai,தொலை
dhoora,தூர
oatta,ஓட்ட
veerar,வீரர்
aavaar,ஆவார்
</s>,</s>
jun,ஜன்
hith,ஹித்
endra,என்ற
vazhakkaringargalin,வழக்கறிஞர்களின்
amaippai,அமைப்பைத்
thottuviththavar,தோற்றுவித்தவர்
</s>,</s>
indha,இந்தத்
thittathil,திட்டத்தில்
padhivu,பதிவு
seyyum,செய்யும்
poadhu,போது
adhigaaram,அதிகாரம்
petra,பெற்ற
paarvaiyalargal,பார்வையாளர்கள்
thangal,தங்கள்
kairaegai,கைரேகை
uriyalavugal,உயிரியளவுகள்
thagaval,தகவல்
idampera,இடம்பெற்ற
adaiyaala,அடையாள
attaigalai,அட்டைகளைப்
peruvar,பெறுவர்
avattrai,அவற்றை
iyangaseivadhan,இயங்கச்செய்வதன்
moolam,மூலம்
mattume,மட்டுமே
german,ஜெர்மன்
housukkul,ஹவுஸுக்குள்
avargalal,அவர்களால்
sella,செல்ல
mudiyum,முடியும்
</s>,</s>
1973aam,1973ஆம்
aandu,ஆண்டு
america-aadharavudan,அமெரிக்க-ஆதரவுடன்
september,செப்டம்பர்
11,11
nadandha,நடந்த
sili,சிலி
raanuva,இராணுவப்
puratchiyil,புரட்சியில்
makkalaal,மக்களால்
therndhedukkappatta,தேர்ந்தெடுக்கப்பட்ட
saalvadoar,சால்வடோர்
ayendha,அயேந்தே
thalamaiyilana,தலைமையிலான
samoogavoodaimai,சமூகவுடைமை
kudiyarasai,குடியரசை
veelthi,வீழ்த்தி
siliyin,சிலியின்
aatchiyai,ஆட்சியைப்
pidithanar,பிடித்தார்
1925yilurundhu,1925இலிருந்து
seyarpattu,செயற்பட்டு
vandha,வந்த
makkalatchiyum,மக்களாட்சியும்
mudivukku,முடிவுக்கு
vandhadhu,வந்தது
</s>,</s>
aasiriyarpaavukuriya,ஆசிரியப்பாவுக்குரிய
adi,அடி
alavadi,அளவடி
</s>,</s>
zee,ஜீ
tamil,தமிழ்
tholaikkatchi,தொலைக்காட்சி
thodangapattadhan,தொடங்கப்பட்டதன்
10-vadhu,10-வது
aanduvizhavai,ஆண்டுவிழாவை
kondaadum,கொண்டாடும்
vidhamaaga,விதமாக
mudhanmuraiyaaga,முதன்முறையாக
zee,ஜீ
tamil,தமிழ்
kudumba,குடும்ப
virudhugal,விருதுகள்
endra,என்ற
vizha,விழா
nadathapattadhu,நடத்தப்பட்டது
</s>,</s>
wikkipaasa,விக்கிபாசா
30kum,30க்கும்
maerpatta,மேற்பட்ட
mozhigalil,மொழிகளில்
thagavalgal,தகவல்களை
urvaakka,உருவாக்கப்
payanpadugiradhu,பயன்படுகிறது
kuraindha,குறைந்த
ulladakkam,உள்ளடக்கம்
konda,கொண்ட
wikkipediagalukku,விக்கிப்பீடியாக்களுக்கு
adhiga,அதிக
alavil,அளவில்
kattooraigalai,கட்டுரைகளைக்
kondu,கொண்டு
serkka,சேர்க்க
udhavalaam,உதவலாம்
ena,என
karudhapadugiradhu,கருதப்படுகிறது
</s>,</s>
sundara,சுந்தர
chozhar,சோழர்
</s>,</s>
indha,இந்த
satta,சட்ட
munvaraivu,முன்வரைவு
valuvaana,வலுவான
thiranaana,திறனான
arasiyalil,அரசியலில்
irundhu,இருந்து
vidupatta,விடுபட்ட
iru,இரு
amaipugalaaga,அமைப்புகளாக
loakpaal,லோக்பால்
mattrum,மற்றும்
loak,லோக்
aayugdha,ஆயுக்தா
uruvaakapadavum,உருவாக்கப்படவும்
avai,அவை
podhuthurai,பொதுத்துறை
adhigarigal,அதிகாரிகள்
mattrum,மற்றும்
arasiyalvaadhigalukku,அரசியல்வாதிகளுக்கு
edhirana,எதிரான
oozhal,ஊழல்
pugarugalai,புகார்களை
pulanaivu,புலனாய்வு
seiyavum,செய்யவும்
vazhi,வழி
sigiradhu,செய்கிறது
</s>,</s>
podhuvaaga,பொதுவாக
therdhalil,தேர்தல்கள்
orae,ஒரே
naalil,நாளில்
nadathapadugindrana,நடத்தப்படுகின்றன
</s>,</s>
idhara,இதரப்
payanpadugalil,பயன்பாடுகளில்
ulkattamaippu,உள்கட்டமைப்பு
endra,என்ற
sol,சொல்
thagaval,தகவல்
thozhilnutpam,தொழில்நுட்பம்
thagavalthodarbugalin,தகவல்தொடர்புகளின்
muraiyana,முறையான
mattrum,மற்றும்
muraiyattra,முறையற்ற
channelgal,சானல்கள்
maenporul,மென்பொருள்
uruvaakum,உருவாக்கும்
karuvigal,கருவிகள்
arasiyal,அரசியல்
mattrum,மற்றும்
samooga,சமூக
valaithoguppugalil,வலைத்தொகுப்புகள்
alladhu,அல்லது
kurippitta,குறிப்பிட்ட
kuzhukalin,குழுக்களின்
uripinargal,உறுப்பினர்கள்
kondirukkum,கொண்டிருக்கும்
nambikkaigal,நம்பிக்கைகள்
aagiyavattrai,ஆகியவற்றைக்
kurikalaam,குறிக்கலாம்
</s>,</s>
priya,பிரியா
raman,ராமன்
gowri,கௌரி
</s>,</s>
anaegamaga,அநேகமாக
enjiya,எஞ்சிய
athiyayangalukkana,அத்தியாயங்களுக்கான
mun,முன்
varaivai,வரைவை
avar,அவர்
ezhudhivaiththirukkalaam,எழுதிவைத்திருக்கலாம்
endru,என்று
karudhapadugiradhu,கருதப்படுகிறது
</s>,</s>
andha,அந்தக்
kaalathil,காலத்தில்
aadhikam,ஆதிக்கம்
seluthi,செலுத்திக்
kondirundha,கொண்டிருந்த
kaslet,காஸ்லைட்
payanudaimaigaludan,பயனுடைமைகளுடன்
indha,இந்த
amaippugal,அமைப்புகள்
neradi,நேரடி
potiyil,போட்டியில்
irundhana,இருந்தன
</s>,</s>
kopisettipaalayam,கோபிச்செட்டிப்பாளையம்
ooraatchi,ஊராட்சி
ondraiyum,ஒன்றியம்
ivvattathil,இவ்வட்டத்தில்
ulladhu,உள்ளது
</s>,</s>
indha,இந்த
aniyin,அணியின்
varalatril,வரலாற்றில்
sila,சில
pugalpetra,புகழ்பெற்ற
veerargal,வீரர்கள்
hakeem,ஹகீம்
olaajuvan,ஒலாஜுவான்
glite,க்ளைட்
trekslar,ட்ரெக்ஸ்லர்
charles,சார்ல்ஸ்
parkli,பார்க்லி
ralph,ரால்ஃப்
sampson,சேம்ப்சன்
tressi,ட்ரேசி
mcretti,மெக்ரேடி
yav,யாவ்
ming,மிங்
</s>,</s>
maelum,மேலும்
kuripitta,குறிப்பிட்ட
kaalavaraikkul,காலவரைக்குள்
kurai,குறை
neekalum,நீக்கலும்
pulaanaaivu,புலனாய்வு
mudivu,முடிவு
peravum,பெறவும்
vazhi,வழி
seigiradhu,செய்கிறது
</s>,</s>
neem,நீம்
adipadaiyaana,அடிப்படையான
thayarippugal,தயாரிப்புகள்
payanulla,பயனுள்ள
orunginaipaalargalaaga,ஒருங்கிணைப்பாளர்களாக
karudhapadungindrana,கருதப்படுகின்றன
</s>,</s>
1997-2000/01,1997-2000/01
paruva,பருவ
aandugalil,ஆண்டுகளில்
thenaapricaa,தென்னாப்பிரிக்கா
pengal,பெண்கள்
desiya,தேசிய
ani,அணி
urippinaraaga,உறுப்பினராக
orunaal,ஒருநாள்
pannattu,பன்னாட்டுத்
thuduppaatta,துடுப்பாட்டப்
poattigalil,போட்டிகளில்
pangukondar,பங்குகொண்டார்
</s>,</s>
ivar,இவர்
kaavadi,காவடி
eduththuchelvadhu,எடுத்துச்செல்வது
poal,போல்
tham,தம்
petrorai,பெற்றோரை
iru,இரு
pakkamum,பக்கமும
oru,ஒரு
tharaasiyil,தராசில்
poagum,போகும்
idamellam,இடமெல்லாம்
sumandhu,சுமந்து
selvar,செல்வார்
</s>,</s>
chennai,சென்னை
</s>,</s>
impadi,ம்படி
shamoon,ஷமூன்
kaasmi,காஸ்மி
</s>,</s>
indiavin,இந்தியாவின்
mudhal,முதல்
pen,பெண்
maththiya,மத்திய
amaichar,அமைச்சர்
endra,என்ற
perumai,பெருமை
ivarukku,இவருக்கு
oondu,உண்டு
</s>,</s>
adhavadhu,அதாவது
moondru,மூன்று
naatkal,நாட்கள்
nilavil,நிலவில்
thangi,தங்கி
aaivuseidhal,ஆய்வு செய்தல்
maempaduthapatta,மேம்படுத்தப்பட்ட
ariviyal,அறிவியல்
seyalthirangal,செயல்திறன்கள்
mattrum,மற்றும்
moondraavadhu,மூன்றாவது
nilavu,நிலவு
ulavu,உலவு
vaaganam,வாகனம்
payanpaduthudhal,பயன்படுத்துதல்
aagiya vattrai,ஆகியவற்றை
ulladikkiyadhu,உள்ளடக்கியது
</s>,</s>
12,12
pakkangalai,பக்கங்களைக்
konda,கொண்ட
ividhal,இவ்விதழில்
kattooraigal,கட்டுரைகள்
kavidhaigal,கவிதைகள்
idampettrirundhana,இடம்பெற்றிருந்தன
</s>,</s>
thadaiyatravanigam,தடையற்றவணிகம்
virpanaithiran,விற்பனைத்திறன்
vilambaram,விளம்பரம்
poakkuvaththuvasadhigal,போக்குவரத்துவசதிகள்
poandra,போன்ற
</s>,</s>
tamil,தமிழ்
kanimai,கணிமை
kalaisorkal,கலைச்சொற்கள்
</s>,</s>
joody,ஜூடி
dens,டென்ச்
9,9
december,டிசம்பர்
1934aam,1934ஆம்
aandil,ஆண்டில்
york,யோர்க்
englandil,இங்கிலாந்தில்
pirandhar,பிறந்தார்
</s>,</s>
idhu,இது
seenavin,சீனாவின்
irandavadhu,இரண்டாவது
migaperiya,மிகப்பெரிய
abaya,அபாய
echarikkaiyaagum,எச்சரிக்கையாகும்
</s>,</s>
theenunma,தீனுண்ம
kaaichal,காய்ச்சல்
</s>,</s>
melum,மேலும்
aeri,ஏரி
vattum,வட்டும்
aeri,ஏரி
pulligalum,புள்ளிகளும்
ivaradhu,இவரது
peyaral,பெயரால்
vazhangugindrana,வழங்குகின்றன
</s>,</s>
adhiga,அதிக
naeram,நேரம்
aavanappaduthalilum,ஆவணப்படுத்தலிலும்
vadivamaippilum,வடிவமைப்பிலும்
seluthaamal,செலுத்தாமல்
vaegamaaga,வேகமாக
vaelai,வேலை
seiyum,செய்யும்
pagudhigalai,பகுதிகளை
uruvakki,உருவாக்கி
orunginaiththu,ஒருங்கிணைத்து
ilangai,இலக்கை
noakki,நோக்கி
munaeruvadhu,முன்னேறுவது
ajil,அஜில்
muraiyaana,முறையின்
panpagum,பண்பாகும்
</s>,</s>
aanal,ஆனால்
prapanja,பிரபஞ்ச
padaipirkku,படைப்பிற்கு
eesvaran,ஈஸ்வரன்
kaaranamaanavan,காரணமானவன்
ena,என
vilakkapattulladhu,விளக்கப்பட்டுள்ளது
</s>,</s>
enave,எனவே
idhu,இது
boomiyai,பூமியை
poala,போல
kundrugal,குன்றுகள்
aarugal,ஆறுகள்
aerigal,ஏரிகள்
kadalgal(thirava,கடல்கள்(திரவ
methane,மீத்தேன்
mattrum,மற்றும்
ethane,ஈத்தேன்
mattrum,மற்றும்
kazhimuga,கழிமுக
boomi,பூமி
poandra,போன்ற
maerparappu,மேற்பரப்பு
amsangal,அம்சங்களை
kondulladhu,கொண்டுள்ளது
mattrum,மற்றும்
boomiyil,பூமியில்
iruppadhu,இருப்பது
poandru,போன்று
paruvakaala,பருவகால
vaanilaikalaiyum,வானிலைகளையும்
kondulladhu,கொண்டுள்ளது
</s>,</s>
pirivu,பிரிவு
</s>,</s>
mozhimaattram,மொழிமாற்றம்
maniraivadaindha,மனநிறைவடைந்த
nilayil,நிலையில்
moondraam,மூன்றாம்
pothaanai,பொத்தானை
azhuththi,அழுத்தி
wikipediavil,விக்கிப்பீடியாவில்
padhivaetralam,பதிவேற்றலாம்
</s>,</s>
ivan,இவன்
thaeril,தேரில்
poalivarum,பொலிவுறும்
kaatchiyai,காட்சியைப்
paranar,பரணர்
kurippittullar,குறிப்பிட்டிள்ளார்
</s>,</s>
ith,இத்
thittam,திட்டம்
ith,இத்
tharavugalai,தரவுகளை
,"	"
avattrin,அவற்றின்
tharpodhaiya,தற்போதைய
vadivathilum,வடிவத்திலும்
edhirkaala,எதிர்கால
oodaga,ஊடக
vadivangalilum,வடிவங்களிலும்
sattathukkutpatta,சட்டத்துக்குட்பட்ட
vazhigalil,வழிகளில்
payanpadutha,பயன்படுத்த
maatra,மாற்ற
vazhanga,வழங்க
ulagalaviya,உலகளாவிய
kattanam,கட்டணம்
attra,அற்ற
thanipadaadha,தனிப்படாத
urimaiyai,உரிமையை
tharugiradhu,தருகிறது
</s>,</s>
piragu,பிறகு
siyusu,சியுசு
semiliyin,செமிலியின்
karuviyil,கருவில்
irundha,இருந்த
than,தன்
kuzhandhaiyai,குழந்தையை
than,தன்
thoadaiyil,தொடையில்
vaithu,வைத்து
karuvura,கருவுறச்
seidhar,செய்தார்
</s>,</s>
pinnar,பின்னர்
iruvarum,இருவரும்
sandhipadhudan,சந்திப்பதுடன்
kadhai,கதை
aarambikkiradhu,ஆரம்பிக்கிறது
</s>,</s>
aasiya,ஆசிய
naadugalin,நாடுகளின்
adhigaaram,அதிகாரம்
mattrum,மற்றும்
bangaal,பங்கால்
vilangugal,விலக்குகள்
aerpadutha,ஏற்படுத்த
vaendithaayitru,வேண்டியதாயிற்று
</s>,</s>
indha,இந்த
thuthanaaga,துத்தநாக
bromide,புரோமைடு
uppu,உப்பு
karaisal,கரைசல்
payanpaduththuvadhan,பயன்படுத்துவதன்
moolamaga,மூலமாக
kadhiriyakka,கதிரியக்க
saedhathai,சேதத்தை
kuraikkavum,குறைக்கவும்
elidhaga,எளிதாக
pazhdhuneekkam,பழுதுநீக்கம்
maerkollavum,மேற்கொள்ளவும்
iyalgiradhu,இயல்கிறது
</s>,</s>
aadumaadu,ஆடுமாடு
meikkum,மேய்க்கும்
kovalar,கோவலர்
thanneerukkaaga,தண்ணீருக்காகக்
kinaru,கிணறு
thoanduvar,தோண்டுவர்
</s>,</s>
in,இந்
thurai,துறைப்
peyarilulla,பெயரிலுள்ள
pillai,பிள்ளை
ennum,என்னும்
sol,சொல்
paruva,பருவ
maganai,மகனை
unarththum,உணர்த்தும்
</s>,</s>
iruppinum,இருப்பினும்
18,18
mudhalthara,முதல்தர
thudupaata,துடுப்பாட்டப்
poattigalil,போட்டிகளில்
kalandhu,கலந்து
kondullar,கொண்டுள்ளார்
</s>,</s>
kizhakkil,கிழக்கில்
pikaarin,பிகாரின்
kichankanchu,கிசன்கஞ்சு
maavattam,மாவட்டம்
mattrum,மற்றும்
maerkku,மேற்கு
vangaalaththil,வங்காளத்தின்
darjeeling,டார்ஜிலிங்
maavattam,மாவட்டம்
</s>,</s>
maelum,மேலும்
payirgalaithakkum,பயிர்களைத்தாக்கும்
கூண்டுப்புழுக்கள்,பூச்சிகள்
palvaeru,பல்வேறு
paruvangamal,பருவங்கமள்
mattrum,மற்றும்
poochigalin,பூச்சிகளின்
muttaigal,முட்டைகள்
yaagavum,யாவுகம்
perumalavil,பெருமளவில்
koadai,கோடை
பல்வேறு,வெப்பத்தாலும்
paravaigalalum,பறவைகளாலும்
kattupaduthapadugiradhu,கட்டுப்படுத்தப்படுகிறது
</s>,</s>
1952,1952
thaerdhalil,தேர்தலில்
thi.mu.ka,தி.மு.க
poattiyidavillai,போட்டியிடவில்லை
endraalum,என்றாலும்
adhu,அது
sila,சில
vetpalargalai,வேட்பாளர்களை
velippadaiyaaga,வெளிப்படையாக
aadharithadhu,ஆதரித்தது
thi.mu.ka.vin,தி.மு.க.வின்
thiravida,திராவிட
naadu,நாடு
kolgaiyai,கொள்கையை
aadharikkiren,ஆதரிக்கிறேன்
sattamandrathil,சட்டமன்றத்தில்
thimuka-vin,திமுக-வின்
kolgaigalai,கொள்கைகளை
edhirolippen,எதிரொலிப்பேன்
thi.mu.ka,தி.மு.க
veliyidum,வெளியிடும்
thittangallukku,திட்டங்களுக்கு
aadharavu,ஆதரவு
perukkum,பெருக்கும்
vagaiyil,வகையில்
satta,சட்ட
mandrathil,மன்றத்தில்
paniyatruven,பணியாற்றுவேன்
engira,என்கிற
nibandhanaigalukku,நிபந்தனைகளுக்கு
ezhuththupurvamaaga,எழுத்துபூர்வமாகக்
kaiyeluththitu,கையெழுத்திட்டுத்
tharubavargalukku,தருபவர்களுக்கு
aadharavu,ஆதரவு
alithadhu,அளித்தது
thimuka,திமுக
appadi,அப்படிக்
kaiyezhuththu,கையெழுத்துப்
poattu,போட்டுக்
koduththu,கொடுத்துக்
congressai,காங்கிரசை
edhirthu,எதிர்த்து
vettri,வெற்றி
pettru,பெற்று
amaichar,அமைச்சர்
aanavargal,ஆனவர்கள்
indha,இந்த
iruvarum,இருவரும்
</s>,</s>
plasmodium,பிளாஸ்மோடியம்
protozoa,புரோட்டோசோவா
thogudhiyai,தொகுதியைச்
serntha,சேர்ந்த
perinam,பேரினம்
aagum,ஆகும்
</s>,</s>
ivar,இவர்
impal,இம்பால்
maerkku,மேற்கு
maavattam,மாவட்டம்
manipurai,மணிப்பூரைச்
sernthavar,சேர்ந்தவர்
ivar,இவர்
thaledai,தாழெடைப்
pirivil,பிரிவில்
poatiyidugiraar,போட்டியிடுகிறார்
</s>,</s>
siya,சியா
singh,செங்
</s>,</s>
iruppinum,இருப்பினும்
oru,ஒரு
muthalthara,முதல்தர
thuduppaattap,துடுப்பாட்டப்
pottiyil,போட்டியில்
kalanthu,கலந்து
kondullaar,கொண்டுள்ளார்
</s>,</s>
aanal,ஆனால்
pindhaya,பிந்தைய
thiruthiya,திருத்திய
padhipugalil,பதிப்புகளில்
arindhe,அறிந்தே
ezhudhinen,எழுதினேன்
</s>,</s>
kooriyadhu,கூறியது
kooral,கூறல்
maaru,மாறு
kola,கொளக்
kooral,கூறல்
</s>,</s>
tamil,தமிழ்
nadu,நாடு
aandhiram,ஆந்திரம்
keralam,கேரளம்
aagiya,ஆகிய
maanilangalil,மாநிலங்களில்
azhagirkkana,அழகிற்காக
imaram,இம்மரம்
valarkapadugiradhu,வளர்க்கப்படுகிறது
</s>,</s>
paadal,பாடல்
veliyeettu,வெளியீட்டு
nigazhvil,நிகழ்வில்
padathil,படத்தில்
pangaatriya,பங்காற்றிய
pala,பல
nadigargalum,நடிகர்களும்
sirappu,சிறப்பு
virundhinaraga,விருந்தினாராக
nadigar,நடிகர்
dhanushum,தனுசும்
pangetrinaar,பங்கேற்றனர்
</s>,</s>
ragul,ரகுல்
thavula,தவுலா
kavun,கவுன்
ranuva,இராணுவ
palliyil,பள்ளியில்
payindrar,பயின்றார்
</s>,</s>
state,ஸ்டேட்
bank,பாங்க்
of,ஆப்
india,பாடியாலா
</s>,</s>
pigiyin,பிகியின்
maranathirku,மரணத்துக்கு
15,15
naalgal,நாள்கள்
piragu,பிரகு
ivarin,இவரின்
irandaam,இரண்டாம்
album,ஆல்பம்
life,லைஃப்
after,ஆஃப்டர்
death,டெத்
velivandhadhu,வெளிவந்தது
</s>,</s>
poochiyinangalil,பூச்சியினங்களின்
kadina,கடின
elumpinul,எலும்பினுள்
moolaiyai,மூளையை
vaikka,வைக்கப்
patta,பட்ட
parimanam,பரிமாணம்
90,90
million,மில்லியன்
varudaththirkku,வருடத்திற்கு
mundhiya,முந்திய
parinaama,பரிணாம
valarchiyai,வளர்ச்சியைக்
kondu,கொண்டு
ulladhu,உள்ளது
</s>,</s>
sila,சில
nagar,நகர்
saarndha,சார்ந்த
echangal,எச்சங்கள்
migavum,மிகவும்
periyavai,பெரியவை
</s>,</s>
sama,சம
paravalamukkamulla,பரவலமுக்கமுள்ள
isotonic,isotonic
oru,ஒரு
karaisalinul,கரைசலினுள்
uyiranuvaanadhu,உயிரணுவானது
idapadumbodhu,இடப்படும்போது
neer,நீர்
moola,மூலக்
koorugalin,கூறுகளின்
nigara,நிகர
nagarvinmaiyal,நகர்வின்மையால்
uyaranuvil,உயிரணுவில்
maatraminri,மாற்றமின்றி
adhe,அதே
nilayil,நிலையில்
irukkum,இருக்கும்
</s>,</s>
tamilnattin,தமிழ்நாட்டின்
palveru,பல்வேறு
palgalaikazhangkalin,பல்கலைக்கழகங்களின்
paadathitta,பாடத்திட்டக்
kuzhu,குழு
urupinaraana,உறுப்பினரான
ivar,இவர்
samoogaviyal,சமூகவியல்
maanudaviyal,மானுடவியல்
mozhiyiyal,மொழியியல்
ilakkanam,இலக்கணம்
kalviyiyal,கல்வியியல்
varalaru,வரலாறு
thiranaaivu,திறனாய்வு
mudhalaana,முதலான
thuraigalil,துறைகளில்
56,56
noolgalai,நூல்களை
veliyittullar,வெளியிட்டுள்ளார்
</s>,</s>
urathoor,உறத்தூர்
enbana,என்பன
pudhukottai,புதுக்கோட்டை
vattathil,வட்டத்தில்
ullana,உள்ளன
arimanam,அரிமணம்
</s>,</s>
aththeesuvaalaiyai,அத்தீச்சுவாலையைப்
petra,பெற்ற
kerpu,கெற்பு
vedipadhanmoolam,வெடிப்பதன்மூலம்
erikanaiyilulla,எறிகணையிலுள்ள
vedimarundhu,வெடிமருந்து
muzhuvadhum,முழுவதும்
vedikiradhu,வெடிக்கிறது
</s>,</s>
indha,இந்தப்
poatiyin,போட்டியின்
mudhal,முதல்
aatta,ஆட்டப்
pagudhiyil,பகுதியில்
45,45
pandhugalai,பந்துகளைச்
sandhitha,சந்தித்த
ivar,இவர்
44,44
oattangalai,ஓட்டங்களை
eduthu,எடுத்து
ravichandra,ரவிச்சந்திரன்
ashwin,அசுவின்
pandhuveechil,பந்துவீச்சில்
aattamizhandhar,ஆட்டமிழந்தார்
</s>,</s>
kurudhi,குருதி
viniyoga,விநியோக
noigal,நோய்கள்
u-m,உ-ம்
nuraiyeeral,நுரையீரல்
veekam,வீக்கம்
</s>,</s>
nisisaran,நிசிசரன்
manimudi,மணிமுடி
neruneru,நெறுநெறு
neruvena,நெறுவென
</s>,</s>
alexander,அலெக்ஸாண்டர்
babilonai,பாபிலோனை
kaipatriya,கைப்பற்றிய
poludhu,பொழுது
darius,டாரியஸ்
andha,அந்த
porilirundhu,போரிலிருந்து
thapithu,தப்பித்து
ecpattana,எக்பட்டானா
malaithodargalai,மலைத்தொடர்களை
kadandhu,கடந்து
oadinar,ஓடினார்
</s>,</s>
kumbaabishegam,கும்பாபிஷேக
magimai,மகிமை
</s>,</s>
malaiyaga,மலையகத்
thozhirchanga,தொழிற்சங்க
varalaaru,வரலாறு
</s>,</s>
tamilaga,தமிழக
aasiriyar,ஆசிரியர்
kootaniyin,கூட்டணியின்
inayathalam,இணையதளம்
</s>,</s>
athudan,அத்துடன்
sapaanin,சப்பானின்
then,தென்
korea,கொரியா
pilipainchu,பிலிப்பைன்சு
uravilum,உறவிலும்
thaakathai,தாக்கத்தை
erpadithiyadhu,ஏற்படுத்தியது
</s>,</s>
da-yu,டா-யூ
miga,மிகச்
chirandha,சிறந்த
paadagi,பாடகி
</s>,</s>
malaysiayavil,மலேசியாவில்
irundhu,இருந்து
sendru,சென்று
imayamalai,இமயமலை
eri,ஏறிச்
saadhanai,சாதனை
padaithavargalil,படைத்தவர்களில்
perumpalor,பெரும்பாலோர்
mudhalil,முதலில்
indha,இந்த
korbu,கொர்பு
malaiyil,மலையில்
eri,ஏறி
dhan,தான்
payirchi,பயிற்சி
anubavam,அனுபவம்
petrargal,பெற்றார்கள்
</s>,</s>
yazhpayanam,யாழ்ப்பாணம்
thandha,தந்த
sivagnanadheebam,சிவஞானதீபம்
-,-
thiru,திரு
vi,வி
ka,க
iyattriyadhu,இயற்றியது
</s>,</s>
marabiyal,மரபியல்
soozhiyal,சூழியல்
thavarathogai,தாவரத்தொகை
maattrum,மாற்றம்
melum,மேலும்
merkoorpatta,மேற்கூறப்பட்ட
palatharapatta,பலதரப்பட்ட
kaaranigalai,காரணிகளை
adipadaiyaga,அடிப்டையாகக்
kondulluna,கொண்டுள்ளன
</s>,</s>
velai,வேலை
seyyum,செய்யும்
menporul,மென்பொருள்
edhir,எதிர்
muzhmaiyana,முழுமையான
aavanangal,ஆவணங்கள்
</s>,</s>
vaagai,வாகைப்
parandhalai,பறந்தலைப்
poril,போரில்
ivanai,இவனை
edhirtha,எதிர்த்த
onbadhu,ஒன்பது
mannarum,மன்னரும்
orunaal,ஒருநாள்
nanpagalukku,நன்பகலுக்கு
munnar,முன்னர்
thottru,தோற்று
tham,தம்
kotra,கொற்றக்
kudaigalai,குடைகளைப்
porkalithileye,போர்க்களத்திலேயே
pottuvittu,போட்டுவிட்டு
odivittanar,ஓடிவிட்டனர்
</s>,</s>
ulkattamaippu,உள்கட்டமைப்புத்
thuraiyil,துறையில்
velaikku,வேலைக்கு
amarthapattirukkum,அமர்த்தப்பட்டிருக்கும்
nabargal,நபர்கள்
podhuvaaga,பொதுவாக
soththugalai,சொத்துகளைப்
paraamariththu,பராமரித்து
kankaanithu,கண்காணித்து
iyakkugiraargal,இயக்குகிறார்கள்
aanal,ஆனால்
ulkattamaippin,உள்கட்டமைப்பின்
vadikaiyaalargal,வாடிக்கையாளர்கள்
alladhu,அல்லது
payanpaduthupavargalukku,பயன்படுத்துபவர்களுக்குச்
sevaigalai,சேவைகளை
vazhangamaattaargal,வழங்கமாட்டார்கள்
</s>,</s>
poojaikkaana,பூஜைக்கான
neram,நேரம்
amaavaasai,அமாவாசை
thidhiyai,திதியை
konde,கொண்டே
nirnayam,நிர்ணயம்
seiyapadugiradhu,செய்யப்படுகிறது
</s>,</s>
innoi,இந்நோய்
vegu,வெகு
aridhaga,அரிதாக
erpaduvadhu,ஏற்படுவது
enbadhudan,என்பதுடன்
sevituthanmai,செவிட்டுத்தன்மை
mattrum,மற்றும்
mugam,முகம்
kazhuthu,கழுத்து
tholgal,தோள்கள்
mattrum,மற்றும்
mootu,மூட்டுத்
thasaigalin,தசைகளி்ன்
seyalizhappu,செயலிழப்பு
pondravai,போன்றவை
innoyin,இந்நோயின்
arigurigalam,அறிகுறிகளாகும்
</s>,</s>
1912,1912
il,இல்
india,இந்திய
payirchi,பயிற்சி
pettra,பெற்ற
seviliyar,செவிலியர்
amaippu,அமைப்பு
ulaga,உலக
seviliyar,செவிலியர்
amaippin,அமைப்பின்
angigaarathai,அங்கீகாரத்தை
pettradhu,பெற்றது
</s>,</s>
vedham,வேதம்
pudhidhu,புதிது
</s>,</s>
pinnar,பின்னர்
avar,அவர்
scotish,ஸ்காட்டிஷ்
church,சர்ச்
kallooriyil,கல்லூரியில்
thathuvathil,தத்துவத்தில்
ma,எம்ஏ
pattam,பட்டம்
petrar,பெற்றார்
</s>,</s>
avar,அவர்
appadi,அப்படிச்
seydhadhan,செய்ததன்
moolam,மூலம்
1871-il,1871-இல்
ulagin,உலகின்
mudhal,முதல்
kaatruchurangathai,காற்றுச்சுரங்கத்தைக்
kattamaithar,கட்டமைத்தார்
</s>,</s>
avaradhu,அவரது
ilamaikala,இளமைக்கால
nanbargal,நண்பர்கள்
palar,பலர்
mudhalam,முதலாம்
ulaga,உலகப்
poril,போரில்
pormunaigalil,போர்முனைகளில்
maranamadaindhanar,மரணமடைந்தனர்
</s>,</s>
migavum,மிகவும்
unnadhamana,உன்னதமான
ariviyal,அறிவியல்
poorvamana,பூர்வமான
